ConfigFileName = "Replatform.txt"

Key = "Dam.Folktails"
Type = "bool"
DefaultValue = false
Label = "Building.Dam.DisplayName"
Tooltip = "Calloatti.Config.Replatform.Enable"
ControlType = "Toggle"
RequiresRestart = false
RequiresReload = true

Key = "Dam.IronTeeth"
Type = "bool"
DefaultValue = false
Label = "Building.Dam.DisplayName"
Tooltip = "Calloatti.Config.Replatform.Enable"
ControlType = "Toggle"
RequiresRestart = false
RequiresReload = true

Key = "DoubleFloodgate.Folktails"
Type = "bool"
DefaultValue = false
Label = "Building.DoubleFloodgate.DisplayName"
Tooltip = "Calloatti.Config.Replatform.Enable"
ControlType = "Toggle"
RequiresRestart = false
RequiresReload = true

Key = "DoubleFloodgate.IronTeeth"
Type = "bool"
DefaultValue = false
Label = "Building.DoubleFloodgate.DisplayName"
Tooltip = "Calloatti.Config.Replatform.Enable"
ControlType = "Toggle"
RequiresRestart = false
RequiresReload = true

Key = "FillValve.Folktails"
Type = "bool"
DefaultValue = false
Label = "Building.FillValve.DisplayName"
Tooltip = "Calloatti.Config.Replatform.Enable"
ControlType = "Toggle"
RequiresRestart = false
RequiresReload = true

Key = "FillValve.IronTeeth"
Type = "bool"
DefaultValue = false
Label = "Building.FillValve.DisplayName"
Tooltip = "Calloatti.Config.Replatform.Enable"
ControlType = "Toggle"
RequiresRestart = false
RequiresReload = true

Key = "Floodgate.Folktails"
Type = "bool"
DefaultValue = false
Label = "Building.Floodgate.DisplayName"
Tooltip = "Calloatti.Config.Replatform.Enable"
ControlType = "Toggle"
RequiresRestart = false
RequiresReload = true

Key = "Floodgate.IronTeeth"
Type = "bool"
DefaultValue = false
Label = "Building.Floodgate.DisplayName"
Tooltip = "Calloatti.Config.Replatform.Enable"
ControlType = "Toggle"
RequiresRestart = false
RequiresReload = true

Key = "Levee.Folktails"
Type = "bool"
DefaultValue = false
Label = "Building.Levee.DisplayName"
Tooltip = "Calloatti.Config.Replatform.Enable"
ControlType = "Toggle"
RequiresRestart = false
RequiresReload = true

Key = "Levee.IronTeeth"
Type = "bool"
DefaultValue = false
Label = "Building.Levee.DisplayName"
Tooltip = "Calloatti.Config.Replatform.Enable"
ControlType = "Toggle"
RequiresRestart = false
RequiresReload = true

Key = "Overhang2x1.Folktails"
Type = "bool"
DefaultValue = false
Label = "Building.Overhang2x1.DisplayName"
Tooltip = "Calloatti.Config.Replatform.Enable"
